ano,mes,sigla_uf,ddd,tecnologia,sinal,acessos
2009,2,RS,53,Dados > 256kbps,3G,2938
2009,2,RS,53,Dados até 256kbps,2G,10844
2009,2,RS,53,GSM,2G,833294
2009,2,RS,53,TDMA,2G,15604
2009,2,RS,53,WCDMA,3G,8233
2009,2,RS,54,CDMA IS 95,2G,214639
2009,2,RS,54,CDMA2000,2G,4532
2009,2,RS,54,Dados > 256kbps,3G,7446
2009,2,RS,54,Dados até 256kbps,2G,32813
2009,2,RS,54,GSM,2G,1387179
2009,2,RS,54,TDMA,2G,17587
2009,2,RS,54,WCDMA,3G,26702
2009,2,RS,55,CDMA IS 95,2G,250095
2009,2,RS,55,CDMA2000,2G,2885
2009,2,RS,55,Dados > 256kbps,3G,5400
2009,2,RS,55,Dados até 256kbps,2G,8532
2009,2,RS,55,GSM,2G,1447936
2009,2,RS,55,TDMA,2G,11315
2009,2,RS,55,WCDMA,3G,14772
2009,2,SC,47,AMPS,1G,481
2009,2,SC,47,CDMA IS 95,2G,203361
2009,2,SC,47,CDMA2000,2G,3004
2009,2,SC,47,Dados > 256kbps,3G,12409
2009,2,SC,47,Dados até 256kbps,2G,17961
2009,2,SC,47,GSM,2G,2013525
2009,2,SC,47,TDMA,2G,11397
2009,2,SC,47,WCDMA,3G,18342
2009,2,SC,48,AMPS,1G,146
2009,2,SC,48,CDMA IS 95,2G,114861
2009,2,SC,48,CDMA2000,2G,2064
2009,2,SC,48,Dados > 256kbps,3G,10828
2009,2,SC,48,Dados até 256kbps,2G,22674
2009,2,SC,48,GSM,2G,1592901
2009,2,SC,48,TDMA,2G,10440
2009,2,SC,48,WCDMA,3G,15704
2009,2,SC,49,AMPS,1G,265
2009,2,SC,49,CDMA IS 95,2G,112737
2009,2,SC,49,CDMA2000,2G,973
2009,2,SC,49,Dados > 256kbps,3G,2926
2009,2,SC,49,Dados até 256kbps,2G,6663
2009,2,SC,49,GSM,2G,945954
2009,2,SC,49,TDMA,2G,8696
2009,2,SC,49,WCDMA,3G,4913
2009,2,SE,79,CDMA IS 95,2G,215023
2009,2,SE,79,CDMA2000,2G,2955
2009,2,SE,79,Dados > 256kbps,3G,5824
2009,2,SE,79,Dados até 256kbps,2G,9939
2009,2,SE,79,GSM,2G,1310720
2009,2,SE,79,TDMA,2G,1265
2009,2,SE,79,WCDMA,3G,9957
2009,2,SP,11,CDMA IS 95,2G,2589594
2009,2,SP,11,CDMA2000,2G,90060
2009,2,SP,11,Dados > 256kbps,3G,149442
2009,2,SP,11,Dados até 256kbps,2G,557134
2009,2,SP,11,GSM,2G,18430461
2009,2,SP,11,WCDMA,3G,265398
2009,2,SP,12,CDMA IS 95,2G,215037
2009,2,SP,12,CDMA2000,2G,3079
2009,2,SP,12,Dados > 256kbps,3G,10175
2009,2,SP,12,Dados até 256kbps,2G,17509
2009,2,SP,12,GSM,2G,1655055
2009,2,SP,12,WCDMA,3G,11413
2009,2,SP,13,CDMA IS 95,2G,208474
2009,2,SP,13,CDMA2000,2G,3313
2009,2,SP,13,Dados > 256kbps,3G,6875
2009,2,SP,13,Dados até 256kbps,2G,16591
2009,2,SP,13,GSM,2G,1345708
